codigo,descripcion,imputable
11101,Caja,True
11102,Caja u$s,True
11104,Banco Galicia Cuenta Corriente,True
11105,Banco Galicia Cuenta Corriente,True
11106,Fondo Fijo,True
11107,Valores a Depositar,True
11108,Banco 1 Cheque Diferido,True
11109,Banco 2 Cheque Diferido,True
11110,Saldo a favor Imp a las Ganancias,True
11201,Moneda Extranjera,True
11202,Plazo Fijo,True
11203,Títulos y Acciones,True
11204,Acciones con Cotización,True
11205,Caja de Ahorro,True
11301,Deudores por Ventas,True
11302,Deudores por Tarjeta,True
11303,Documentos a Cobrar $,True
11304,Documentos a Cobrar u$s,True
11306,Deudores en Gestión Judicial,True
11307,Cheques de Terceros Rechazados,True
11308,Deudores del Exterior,True
11401,Anticipos Impuesto a las Ganancias,True
11402,IVA Crédito Fiscal,True
11403,IVA Percepción 3337,True
11404,Percepción Ingresos Brutos,True
11405,Adelanto de Sueldos,True
11406,Anticipos a Proveedores,True
11407,Accionistas,True
11408,Pagos a Cuenta Afip - Saldo Libre Disponibilidad,True
11409,Retenciones de Iva,True
11410,IVA Crédito Fiscal 10.5,True
11412,Retencion Imp a los IIBB Prov de Bs,True
11413,Retencion Imp a las Ganancias,True
11414,Cta Particular Carolina Givonetti,True
11415,Saldo Tecnico IVA a Favor,True
11416,Saldo Libre Disponibilidad IVA,True
11417,Reten. Bancarias Imp. sobre los IIBB,True
11418,Saldo a favor Imp. sobre los IIBB,True
11419,Retenciones Contrib.SUSS,True
11420,Impuesto al Credito a cta Ganancias,True
11421,Cta Particular Carlos Turina,True
11422,IVA Crédito Fiscal Bancos,True
11423,IVA Crédito Fiscal 27%,True
11424,Percepción Ingresos Brutos Bancarias,True
11425,Cta Particular Selva M,True
11426,Retencion Imp a los IIBB Rio Negro,True
11427,Retencion Imp a los IIBB CABA,True
11428,IVA Crédito Fiscal Prestamo 10.5,True
11501,Productos Terminados,True
11502,Productos en Proceso,True
11503,Materias Primas,True
11505,Mercaderías,True
11601,Alquileres Pagados por Adelantado,True
11602,Seguros Pagados por Adelantado,True
