codigo,descripcion,imputable
42204,Gastos Generales,False
42205,Honorarios,False
42206,Tasas y Derechos,False
42207,Sindicato,False
42208,Patentes,False
42221,Ropa y Equipos p/Personal,False
42301,Gastos Generales de Fabricación,False
42302,Mavilidad y transporte De Fabric,False
42307,Energia Electrica,False
42308,Gas Natural,False
42309,Impuestos Provinciales y Municipales,False
42310,"Seguridad, Vigilancia, Alarma",False
42311,Conserv. Limpieza Edificio,False
42401,Publicidad y Propaganda,False
42402,Comisiones Pagadas sobre Ventas,False
42403,Fletes y Acarreos,False
42404,Deudores Incobrables,False
42405,Impuestos sobre los Ingresos Brutos,False
42406,Descuentos Otorgados,False
42407,Amortizacion Inmuebles,False
42408,Amortizacion Rodados,False
42409,Amortizacion Muebles y Utiles,False
42410,Impuesto Deb. Ley 25413,False
42412,Impuesto Cred. Ley 25413,False
42413,Gastos de Librería y Papeleria,False
42414,"Luz, Gas y Telefono",False
42415,Publicidad y Propaganda,False
42416,Reparaciones,False
42417,Movilidad y Transporte Adminis,False
42418,S.A.C. Producción,False
42419,Contribuciones y Aportes Producción,False
42420,Telefonia Com. E Internet,False
42421,Gastos Comp. Insumos y Abonos,False
42422,Alquileres Pagados,False
42423,Gastos de Teléfono,False
42424,Otros Gastos Administracion,False
42425,Ajuste por Redondeo,False
42426,"Imprenta, Papeleria y Libreria",False
42427,Viaticos y Movilidad,False
42428,Impuesto de Sellos,False
42429,Gastos de Limpieza,False
42430,Trabajos de Terceros,False
42431,Amortizacion de Bienes,False
42432,Amortizacion Extraordinaria de Bienes,False
42433,Amortizacion Instalaciones,False
42434,Amortizacion Equipos de computación,False
42435,Amortizacion Bienes de Uso,False
42436,Gastos Judiciales,False
42437,Tasa Seguridad e Higiene,False
42438,Fondo Promocion Turistica,False
42439,Gastos de Personal,False
42440,Gastos en Insumos Reparacion,False
42441,Gastos de Rodados,False
42442,Gastos de Grua,False
42501,Comisiones Bancarias,False
42502,Intereses Bancarios,False
42503,Pérdida por Tenencia,False
42504,Otros Gastos Bancarios,False
42505,Impuesto a las Ganancias,False
42506,Comisiones e Intereses,False
42507,Intereses Negativos,False
42508,Multas,False
42600,Otros Gastos Varios,False
42601,Resultado por la baja de bienes,False
42700,Recpam,False
42800,Gastos de Sellados,False
42801,Gastos de Seg. Privada de Salud,False
42900,Impuesto Inmobiliario,False
42901,Tasas Municipales,False
43000,Otros Gastos,False
